id,position,stateID,stateClientUUID,stateUnifiedBillID,lobbyistRepName,clientName,lobbyistFirmName,positionNumeric,year,startDate,endDate,recordType,committee,title,description,legiscanBill,ncslTopicsParsed,ncslMetatopicsParsed,sessionTitle,nameCanonical,
8567214,OPP,IL,IL_22975,IL_SB_0000001041_2015,Dustin Brighton,Internet Association,Internet Association,-1,2016,2016-04-20T00:00:00.000Z,2016-04-20T00:00:00.000Z,testimony,S Revenue,REVENUE-TECH,Amends the Illinois Income Tax Act. Makes a technical change in a Section concerning the angel investment credit.,SB1041,null,null,2015-2016 Regular Session,Internet Association,
8766836,OPP,IL,IL_22975,IL_HB_0000002411_2017,Dustin Brighton,Internet Association,Internet Association,-1,2017,2017-03-14T00:00:00.000Z,2017-03-14T00:00:00.000Z,testimony,H Consumer Protection,BIOMETRIC DATA-COMMERCIAL USE,"Amends the Biometric Information Privacy Act. Provides that except to the extent necessary for an employer to conduct background checks or implement employee security protocols, a private entity may not require a person or customer to provide his or her biometric identifier or biometric information as a condition for the provision of goods or services. Provides that the new provisions do not apply to: (i) companies that provide medical services; (ii) law enforcement agencies; or (iii) governmental entities.",HB2411,null,null,2017-2018 Regular Session,Internet Association,
8816229,OPP,IL,IL_22975,IL_SB_0000001502_2017,Dustin Brighton,Internet Association,Internet Association,-1,2017,2017-03-14T00:00:00.000Z,2017-03-14T00:00:00.000Z,testimony,S Judiciary,RIGHT TO KNOW ACT,"Creates the Right to Know Act. Provides that an operator of a commercial website or online service that collects personally identifiable information through the internet about individual customers residing in Illinois who use or visit its commercial website or online service shall notify those customers of certain specified information pertaining to its personal information sharing practices. Requires an operator to make available certain specified information upon disclosing a customer's personal information to a third party, and to provide an e-mail address or toll-free telephone number whereby customers may request or obtain that information. Provides for a right of action to customers whose rights are violated under the Act. Provides that any waiver of the provisions of the Act or any agreement that does not comply with the applicable provisions of the Act shall be void and unenforceable. Provides that no provision of the Act shall be construed to conflict with or apply to certain specified provisions of federal law or certain interactions with State or local government. Provides findings and purpose. Defines terms.",SB1502,null,null,2017-2018 Regular Session,Internet Association,
8817264,OPP,IL,IL_22975,IL_HB_0000002774_2017,Dustin Brighton,Internet Association,Internet Association,-1,2017,2017-04-26T00:00:00.000Z,2017-04-26T00:00:00.000Z,testimony,"H Cybersecurity, Data Analytics, & IT",RIGHT TO KNOW ACT,"Creates the Right to Know Act. Provides that an operator of a commercial website or online service that collects personally identifiable information through the internet about individual customers residing in Illinois who use or visit its commercial website or online service shall notify those customers of certain specified information pertaining to its personal information sharing practices. Requires an operator to make available certain specified information upon disclosing a customer's personal information to a third party, and to provide an e-mail address or toll-free telephone number whereby customers may request or obtain that information. Provides for a right of action to customers whose rights are violated under the Act. Provides that any waiver of the provisions of the Act or any agreement that does not comply with the applicable provisions of the Act shall be void and unenforceable. Provides that no provision of the Act shall be construed to conflict with or apply to certain specified provisions of federal law or certain interactions with State or local government. Provides findings and purpose. Defines terms.",HB2774,null,null,2017-2018 Regular Session,Internet Association,
8817300,OPP,IL,IL_22975,IL_HB_0000002774_2017,Dustin Brighton,Internet Association,Internet Association,-1,2017,2017-03-16T00:00:00.000Z,2017-03-16T00:00:00.000Z,testimony,"H Cybersecurity, Data Analytics, & IT",RIGHT TO KNOW ACT,"Creates the Right to Know Act. Provides that an operator of a commercial website or online service that collects personally identifiable information through the internet about individual customers residing in Illinois who use or visit its commercial website or online service shall notify those customers of certain specified information pertaining to its personal information sharing practices. Requires an operator to make available certain specified information upon disclosing a customer's personal information to a third party, and to provide an e-mail address or toll-free telephone number whereby customers may request or obtain that information. Provides for a right of action to customers whose rights are violated under the Act. Provides that any waiver of the provisions of the Act or any agreement that does not comply with the applicable provisions of the Act shall be void and unenforceable. Provides that no provision of the Act shall be construed to conflict with or apply to certain specified provisions of federal law or certain interactions with State or local government. Provides findings and purpose. Defines terms.",HB2774,null,null,2017-2018 Regular Session,Internet Association,
8860091,PROP,IL,IL_22975,IL_SB_0000001735_2017,Dustin Brighton,Internet Association,Internet Association,1,2017,2017-03-08T00:00:00.000Z,2017-03-08T00:00:00.000Z,testimony,S Local Government,SHORT-TERM RENTAL REGULATION,"Creates the Short-Term Rental Act. Provides that units of local government may not enact or enforce an ordinance, regulation, or plan that has the express or practical effect of prohibiting short-term rentals. Restricts the use of or regulation of short-term rentals based on their classification, use, or occupancy. Allows the regulation of short-term rentals to protect public health, safety, sanitation, traffic control, solid or hazardous waste control, pollution control, and other specified circumstances. Provides that a unit of local government may not tax a short-term rental marketplace or require them to collect taxes from occupants, but the short-term rental marketplace may voluntarily apply, calculate, collect, and remit any tax imposed by the unit of local government on the owner or occupant of a short-term rental. Limits home rule powers. Effective immediately.",SB1735,null,null,2017-2018 Regular Session,Internet Association,
8886553,OPP,IL,IL_22975,IL_HB_0000003449_2017,Dustin Brighton,Internet Association,Internet Association,-1,2017,2017-05-16T00:00:00.000Z,2017-05-16T00:00:00.000Z,testimony,S Judiciary,GEOLOCATION PRIVACY PROTECTION,"Creates the Geolocation Privacy Protection Act. Defines ""geolocation information"", ""location-based application"", and ""private entity"". Provides that a private entity may not collect, use, store, or disclose geolocation information from a location-based application on a person's device unless the private entity first receives the person's affirmative express consent after complying with specified notice requirements. Provides exceptions. Provides that a person whose rights are violated may recover: (1) liquidated damages of $1,000 or actual damages, whichever is greater; (2) reasonable attorney's fees and costs; and (3) other relief, including an injunction, as the court may deem appropriate. Provides that authority to seek remedies and impose penalties granted to the Attorney General under the Consumer Fraud and Deceptive Business Practices Act is also granted to the Attorney General for the enforcement of the Geolocation Privacy Protection Act. Provides that in any action brought by the Attorney General to enforce the Act, the court may order that persons who incurred actual damages be awarded 3 times the amount at which actual damages are assessed. Provides that a violation of the Act constitutes an unlawful practice under the Consumer Fraud and Deceptive Business Practices Act. Provides that the provisions of the Act may not be waived. Contains applicability language. Makes a corresponding change in the Consumer Fraud and Deceptive Business Practices Act. Effective immediately.",HB3449,null,null,2017-2018 Regular Session,Internet Association,
8886561,OPP,IL,IL_22975,IL_HB_0000003449_2017,Dustin Brighton,Internet Association,Internet Association,-1,2017,2017-04-26T00:00:00.000Z,2017-04-26T00:00:00.000Z,testimony,"H Cybersecurity, Data Analytics, & IT",GEOLOCATION PRIVACY PROTECTION,"Creates the Geolocation Privacy Protection Act. Defines ""geolocation information"", ""location-based application"", and ""private entity"". Provides that a private entity may not collect, use, store, or disclose geolocation information from a location-based application on a person's device unless the private entity first receives the person's affirmative express consent after complying with specified notice requirements. Provides exceptions. Provides that a person whose rights are violated may recover: (1) liquidated damages of $1,000 or actual damages, whichever is greater; (2) reasonable attorney's fees and costs; and (3) other relief, including an injunction, as the court may deem appropriate. Provides that authority to seek remedies and impose penalties granted to the Attorney General under the Consumer Fraud and Deceptive Business Practices Act is also granted to the Attorney General for the enforcement of the Geolocation Privacy Protection Act. Provides that in any action brought by the Attorney General to enforce the Act, the court may order that persons who incurred actual damages be awarded 3 times the amount at which actual damages are assessed. Provides that a violation of the Act constitutes an unlawful practice under the Consumer Fraud and Deceptive Business Practices Act. Provides that the provisions of the Act may not be waived. Contains applicability language. Makes a corresponding change in the Consumer Fraud and Deceptive Business Practices Act. Effective immediately.",HB3449,null,null,2017-2018 Regular Session,Internet Association,
8886577,OPP,IL,IL_22975,IL_HB_0000003449_2017,Dustin Brighton,Internet Association,Internet Association,-1,2017,2017-03-16T00:00:00.000Z,2017-03-16T00:00:00.000Z,testimony,"H Cybersecurity, Data Analytics, & IT",GEOLOCATION PRIVACY PROTECTION,"Creates the Geolocation Privacy Protection Act. Defines ""geolocation information"", ""location-based application"", and ""private entity"". Provides that a private entity may not collect, use, store, or disclose geolocation information from a location-based application on a person's device unless the private entity first receives the person's affirmative express consent after complying with specified notice requirements. Provides exceptions. Provides that a person whose rights are violated may recover: (1) liquidated damages of $1,000 or actual damages, whichever is greater; (2) reasonable attorney's fees and costs; and (3) other relief, including an injunction, as the court may deem appropriate. Provides that authority to seek remedies and impose penalties granted to the Attorney General under the Consumer Fraud and Deceptive Business Practices Act is also granted to the Attorney General for the enforcement of the Geolocation Privacy Protection Act. Provides that in any action brought by the Attorney General to enforce the Act, the court may order that persons who incurred actual damages be awarded 3 times the amount at which actual damages are assessed. Provides that a violation of the Act constitutes an unlawful practice under the Consumer Fraud and Deceptive Business Practices Act. Provides that the provisions of the Act may not be waived. Contains applicability language. Makes a corresponding change in the Consumer Fraud and Deceptive Business Practices Act. Effective immediately.",HB3449,null,null,2017-2018 Regular Session,Internet Association,
8908859,OPP,IL,IL_22975,IL_HB_0000002774_2017,Dustin Brighton,Internet Association,Internet Association,-1,2017,2017-04-26T00:00:00.000Z,2017-04-26T00:00:00.000Z,testimony,"H Cybersecurity, Data Analytics, & IT",RIGHT TO KNOW ACT,"Creates the Right to Know Act. Provides that an operator of a commercial website or online service that collects personally identifiable information through the internet about individual customers residing in Illinois who use or visit its commercial website or online service shall notify those customers of certain specified information pertaining to its personal information sharing practices. Requires an operator to make available certain specified information upon disclosing a customer's personal information to a third party, and to provide an e-mail address or toll-free telephone number whereby customers may request or obtain that information. Provides for a right of action to customers whose rights are violated under the Act. Provides that any waiver of the provisions of the Act or any agreement that does not comply with the applicable provisions of the Act shall be void and unenforceable. Provides that no provision of the Act shall be construed to conflict with or apply to certain specified provisions of federal law or certain interactions with State or local government. Provides findings and purpose. Defines terms.",HB2774,null,null,2017-2018 Regular Session,Internet Association,
